CINDA BACKUP   BCK00120240426 157569  65309
    955) Area:1 Z=93  NP-232    bl:3     ln:6    
    956) Area:1 Z=93  NP-233    bl:3     ln:9    
    957) Area:1 Z=93  NP-234    bl:6     ln:13   
    958) Area:1 Z=93  NP-235    bl:6     ln:14   
    959) Area:1 Z=93  NP-236    bl:26    ln:57   
    960) Area:1 Z=93  NP-237    bl:326   ln:794  
    961) Area:1 Z=93  NP-238    bl:36    ln:63   
    962) Area:1 Z=93  NP-239    bl:21    ln:31   
    963) Area:1 Z=93  NP-240    bl:4     ln:4    
    964) Area:1 Z=93  NP-241    bl:3     ln:3    
    965) Area:1 Z=93  NP-242    bl:4     ln:4    
    966) Area:1 Z=93  NP-243    bl:2     ln:2    
    967) Area:1 Z=93  NP-244    bl:2     ln:2    
    968) Area:1 Z=93  NP-245    bl:1     ln:1    
    969) Area:1 Z=93  NP-246    bl:2     ln:2    
    970) Area:1 Z=93  NP-247    bl:2     ln:2    
    971) Area:1 Z=93  NP-248    bl:2     ln:2    
    972) Area:1 Z=93  NP-249    bl:2     ln:2    
    973) Area:1 Z=93  NP-250    bl:2     ln:2    
    974) Area:1 Z=93  NP-251    bl:2     ln:2    
    975) Area:1 Z=93  NP-252    bl:2     ln:2    
    976) Area:1 Z=93  NP-253    bl:2     ln:2    
    977) Area:1 Z=93  NP-254    bl:2     ln:2    
    978) Area:1 Z=93  NP-255    bl:2     ln:2    
    979) Area:1 Z=93  NP-256    bl:2     ln:2    
    980) Area:1 Z=93  NP-257    bl:2     ln:2    
    981) Area:1 Z=93  NP-258    bl:1     ln:1    
    982) Area:1 Z=93  NP-259    bl:1     ln:1    
    983) Area:1 Z=93  NP-260    bl:1     ln:1    
    984) Area:1 Z=93  NP-261    bl:1     ln:1    
    985) Area:1 Z=93  NP-262    bl:1     ln:1    
    986) Area:1 Z=93  NP-263    bl:1     ln:1    
    987) Area:1 Z=93  NP-264    bl:1     ln:1    
    988) Area:1 Z=94  PU-0      bl:1     ln:1    
    989) Area:1 Z=94  PU-234    bl:1     ln:1    
    990) Area:1 Z=94  PU-235    bl:1     ln:2    
    991) Area:1 Z=94  PU-236    bl:28    ln:52   
    992) Area:1 Z=94  PU-237    bl:16    ln:33   
    993) Area:1 Z=94  PU-238    bl:133   ln:327  
    994) Area:1 Z=94  PU-239    bl:1176  ln:2772 
    995) Area:1 Z=94  PU-240    bl:372   ln:864  
    996) Area:1 Z=94  PU-241    bl:342   ln:789  
    997) Area:1 Z=94  PU-242    bl:245   ln:577  
    998) Area:1 Z=94  PU-243    bl:29    ln:51   
    999) Area:1 Z=94  PU-244    bl:62    ln:141  
   1000) Area:1 Z=94  PU-245    bl:11    ln:18   
   1001) Area:1 Z=94  PU-246    bl:2     ln:3    
   1002) Area:1 Z=94  PU-247    bl:4     ln:5    
   1003) Area:1 Z=94  PU-248    bl:1     ln:1    
   1004) Area:1 Z=94  PU-249    bl:4     ln:4    
   1005) Area:1 Z=94  PU-251    bl:3     ln:3    
   1006) Area:1 Z=94  PU-253    bl:3     ln:3    
   1007) Area:1 Z=94  PU-CMP    bl:3     ln:5    
   1008) Area:1 Z=95  AM-0      bl:1     ln:1    
   1009) Area:1 Z=95  AM-232    bl:1     ln:2    
   1010) Area:1 Z=95  AM-238    bl:2     ln:6    
   1011) Area:1 Z=95  AM-239    bl:4     ln:12   
   1012) Area:1 Z=95  AM-240    bl:5     ln:10   
   1013) Area:1 Z=95  AM-241    bl:167   ln:384  
   1014) Area:1 Z=95  AM-242    bl:77    ln:169  
   1015) Area:1 Z=95  AM-242-L  bl:3     ln:10   
   1016) Area:1 Z=95  AM-242-M1 bl:49    ln:124  
   1017) Area:1 Z=95  AM-243    bl:121   ln:247  
   1018) Area:1 Z=95  AM-244    bl:8     ln:13   
   1019) Area:1 Z=95  AM-244-M1 bl:2     ln:4    
   1020) Area:1 Z=95  AM-245    bl:1     ln:1    
   1021) Area:1 Z=95  AM-246    bl:1     ln:1    
   1022) Area:1 Z=95  AM-248    bl:1     ln:1    
   1023) Area:1 Z=95  AM-250    bl:1     ln:1    
   1024) Area:1 Z=96  CM-0      bl:1     ln:1    
   1025) Area:1 Z=96  CM-238    bl:2     ln:2    
   1026) Area:1 Z=96  CM-240    bl:6     ln:10   
   1027) Area:1 Z=96  CM-241    bl:7     ln:15   
   1028) Area:1 Z=96  CM-242    bl:53    ln:101  
   1029) Area:1 Z=96  CM-243    bl:52    ln:130  
   1030) Area:1 Z=96  CM-244    bl:125   ln:280  
   1031) Area:1 Z=96  CM-245    bl:127   ln:277  
   1032) Area:1 Z=96  CM-246    bl:100   ln:249  
   1033) Area:1 Z=96  CM-247    bl:63    ln:127  
   1034) Area:1 Z=96  CM-248    bl:120   ln:294  
   1035) Area:1 Z=96  CM-249    bl:7     ln:10   
   1036) Area:1 Z=96  CM-250    bl:16    ln:30   
   1037) Area:1 Z=96  CM-251    bl:3     ln:5    
   1038) Area:1 Z=97  BK-0      bl:1     ln:1    
   1039) Area:1 Z=97  BK-244    bl:2     ln:6    
   1040) Area:1 Z=97  BK-245    bl:2     ln:6    
   1041) Area:1 Z=97  BK-246    bl:2     ln:7    
   1042) Area:1 Z=97  BK-247    bl:2     ln:7    
   1043) Area:1 Z=97  BK-248    bl:2     ln:5    
   1044) Area:1 Z=97  BK-249    bl:51    ln:107  
   1045) Area:1 Z=97  BK-250    bl:5     ln:10   
   1046) Area:1 Z=97  BK-252    bl:1     ln:1    
   1047) Area:1 Z=98  CF-0      bl:1     ln:1    
   1048) Area:1 Z=98  CF-246    bl:9     ln:13   
   1049) Area:1 Z=98  CF-248    bl:5     ln:6    
   1050) Area:1 Z=98  CF-249    bl:109   ln:280  
   1051) Area:1 Z=98  CF-250    bl:73    ln:141  
   1052) Area:1 Z=98  CF-251    bl:59    ln:104  
   1053) Area:1 Z=98  CF-252    bl:450   ln:1033 
   1054) Area:1 Z=98  CF-253    bl:25    ln:39   
   1055) Area:1 Z=98  CF-254    bl:43    ln:65   
   1056) Area:1 Z=98  CF-256    bl:10    ln:16   
   1057) Area:1 Z=99  ES-0      bl:1     ln:1    
   1058) Area:1 Z=99  ES-248    bl:1     ln:4    
   1059) Area:1 Z=99  ES-249    bl:2     ln:7    
   1060) Area:1 Z=99  ES-250    bl:2     ln:7    
   1061) Area:1 Z=99  ES-251    bl:1     ln:1    
   1062) Area:1 Z=99  ES-252    bl:1     ln:1    
   1063) Area:1 Z=99  ES-253    bl:42    ln:74   
   1064) Area:1 Z=99  ES-254    bl:45    ln:94   
   1065) Area:1 Z=99  ES-254-M1 bl:3     ln:6    
   1066) Area:1 Z=99  ES-255    bl:7     ln:9    
   1067) Area:1 Z=99  ES-256    bl:1     ln:1    
   1068) Area:1 Z=100 FM-0      bl:1     ln:1    
   1069) Area:1 Z=100 FM-244    bl:2     ln:3    
   1070) Area:1 Z=100 FM-246    bl:7     ln:10   
   1071) Area:1 Z=100 FM-248    bl:6     ln:8    
   1072) Area:1 Z=100 FM-250    bl:1     ln:1    
   1073) Area:1 Z=100 FM-252    bl:3     ln:3    
   1074) Area:1 Z=100 FM-254    bl:36    ln:54   
   1075) Area:1 Z=100 FM-255    bl:25    ln:50   
   1076) Area:1 Z=100 FM-256    bl:37    ln:59   
   1077) Area:1 Z=100 FM-257    bl:36    ln:80   
   1078) Area:1 Z=100 FM-258    bl:17    ln:35   
   1079) Area:1 Z=100 FM-259    bl:11    ln:19   
   1080) Area:1 Z=100 FM-264    bl:1     ln:1    
   1081) Area:1 Z=101 MD-259    bl:11    ln:29   
   1082) Area:1 Z=101 MD-260    bl:11    ln:26   
   1083) Area:1 Z=102 NO-252    bl:9     ln:16   
   1084) Area:1 Z=102 NO-254    bl:1     ln:3    
   1085) Area:1 Z=102 NO-256    bl:4     ln:11   
   1086) Area:1 Z=102 NO-258    bl:5     ln:15   
   1087) Area:1 Z=102 NO-259    bl:1     ln:1    
   1088) Area:1 Z=102 NO-262    bl:5     ln:13   
   1089) Area:1 Z=103 LR-259    bl:2     ln:6    
   1090) Area:1 Z=103 LR-261    bl:1     ln:2    
   1091) Area:1 Z=104 RF-256    bl:1     ln:3    
   1092) Area:1 Z=104 RF-258    bl:1     ln:3    
   1093) Area:1 Z=104 RF-260    bl:5     ln:15   
   1094) Area:1 Z=104 RF-262    bl:1     ln:2    
   1095) Area:1 Z=105 DB-262    bl:3     ln:6    
   1096) Area:1 Z=999 FPROD     bl:39    ln:54   
   1097) Area:1 Z=999 MANY      bl:473   ln:550  
