CINDA BACKUP   BCK00420241224 113913  42218
    480) Area:4 Z=55  CS-137    bl:27    ln:45   
    481) Area:4 Z=55  CS-139    bl:1     ln:1    
    482) Area:4 Z=55  CS-142    bl:1     ln:1    
    483) Area:4 Z=55  CS-CMP    bl:4     ln:8    
    484) Area:4 Z=56  BA-0      bl:65    ln:161  
    485) Area:4 Z=56  BA-128    bl:2     ln:3    
    486) Area:4 Z=56  BA-130    bl:19    ln:40   
    487) Area:4 Z=56  BA-131    bl:4     ln:5    
    488) Area:4 Z=56  BA-132    bl:25    ln:55   
    489) Area:4 Z=56  BA-133    bl:8     ln:20   
    490) Area:4 Z=56  BA-134    bl:39    ln:78   
    491) Area:4 Z=56  BA-135    bl:35    ln:71   
    492) Area:4 Z=56  BA-136    bl:49    ln:91   
    493) Area:4 Z=56  BA-137    bl:32    ln:51   
    494) Area:4 Z=56  BA-138    bl:106   ln:266  
    495) Area:4 Z=56  BA-139    bl:7     ln:9    
    496) Area:4 Z=56  BA-140    bl:5     ln:6    
    497) Area:4 Z=57  LA-0      bl:6     ln:22   
    498) Area:4 Z=57  LA-135    bl:1     ln:1    
    499) Area:4 Z=57  LA-137    bl:2     ln:2    
    500) Area:4 Z=57  LA-138    bl:12    ln:28   
    501) Area:4 Z=57  LA-139    bl:117   ln:267  
    502) Area:4 Z=57  LA-140    bl:7     ln:10   
    503) Area:4 Z=57  LA-141    bl:1     ln:1    
    504) Area:4 Z=57  LA-CMP    bl:1     ln:2    
    505) Area:4 Z=58  CE-0      bl:21    ln:53   
    506) Area:4 Z=58  CE-134    bl:2     ln:3    
    507) Area:4 Z=58  CE-135    bl:1     ln:1    
    508) Area:4 Z=58  CE-136    bl:22    ln:56   
    509) Area:4 Z=58  CE-137    bl:3     ln:4    
    510) Area:4 Z=58  CE-138    bl:23    ln:60   
    511) Area:4 Z=58  CE-139    bl:3     ln:3    
    512) Area:4 Z=58  CE-140    bl:95    ln:205  
    513) Area:4 Z=58  CE-141    bl:8     ln:13   
    514) Area:4 Z=58  CE-142    bl:66    ln:141  
    515) Area:4 Z=58  CE-143    bl:4     ln:6    
    516) Area:4 Z=58  CE-144    bl:11    ln:22   
    517) Area:4 Z=58  CE-146    bl:1     ln:1    
    518) Area:4 Z=58  CE-CMP    bl:2     ln:2    
    519) Area:4 Z=59  PR-137    bl:1     ln:1    
    520) Area:4 Z=59  PR-139    bl:1     ln:1    
    521) Area:4 Z=59  PR-140    bl:2     ln:4    
    522) Area:4 Z=59  PR-141    bl:124   ln:313  
    523) Area:4 Z=59  PR-142    bl:2     ln:4    
    524) Area:4 Z=59  PR-143    bl:5     ln:9    
    525) Area:4 Z=59  PR-CMP    bl:2     ln:3    
    526) Area:4 Z=60  ND-0      bl:28    ln:71   
    527) Area:4 Z=60  ND-140    bl:3     ln:4    
    528) Area:4 Z=60  ND-141    bl:1     ln:1    
    529) Area:4 Z=60  ND-142    bl:85    ln:242  
    530) Area:4 Z=60  ND-143    bl:115   ln:336  
    531) Area:4 Z=60  ND-144    bl:78    ln:213  
    532) Area:4 Z=60  ND-145    bl:93    ln:254  
    533) Area:4 Z=60  ND-146    bl:67    ln:196  
    534) Area:4 Z=60  ND-147    bl:10    ln:19   
    535) Area:4 Z=60  ND-148    bl:73    ln:219  
    536) Area:4 Z=60  ND-149    bl:3     ln:8    
    537) Area:4 Z=60  ND-150    bl:59    ln:175  
    538) Area:4 Z=60  ND-151    bl:2     ln:7    
    539) Area:4 Z=61  PM-141    bl:1     ln:1    
    540) Area:4 Z=61  PM-143    bl:2     ln:2    
    541) Area:4 Z=61  PM-144    bl:1     ln:1    
    542) Area:4 Z=61  PM-145    bl:3     ln:4    
    543) Area:4 Z=61  PM-146    bl:2     ln:3    
    544) Area:4 Z=61  PM-147    bl:32    ln:72   
    545) Area:4 Z=61  PM-148    bl:13    ln:20   
    546) Area:4 Z=61  PM-149    bl:7     ln:13   
    547) Area:4 Z=61  PM-151    bl:7     ln:8    
    548) Area:4 Z=62  SM-0      bl:30    ln:85   
    549) Area:4 Z=62  SM-143    bl:1     ln:1    
    550) Area:4 Z=62  SM-144    bl:47    ln:133  
    551) Area:4 Z=62  SM-145    bl:6     ln:7    
    552) Area:4 Z=62  SM-146    bl:2     ln:3    
    553) Area:4 Z=62  SM-147    bl:148   ln:508  
    554) Area:4 Z=62  SM-148    bl:75    ln:209  
    555) Area:4 Z=62  SM-149    bl:127   ln:380  
    556) Area:4 Z=62  SM-150    bl:73    ln:189  
    557) Area:4 Z=62  SM-151    bl:27    ln:56   
    558) Area:4 Z=62  SM-152    bl:89    ln:244  
    559) Area:4 Z=62  SM-153    bl:5     ln:11   
    560) Area:4 Z=62  SM-154    bl:83    ln:234  
    561) Area:4 Z=62  SM-155    bl:2     ln:5    
    562) Area:4 Z=62  SM-156    bl:4     ln:4    
    563) Area:4 Z=63  EU-0      bl:25    ln:89   
    564) Area:4 Z=63  EU-145    bl:1     ln:1    
    565) Area:4 Z=63  EU-146    bl:1     ln:1    
    566) Area:4 Z=63  EU-147    bl:1     ln:1    
    567) Area:4 Z=63  EU-148    bl:1     ln:1    
    568) Area:4 Z=63  EU-149    bl:2     ln:2    
    569) Area:4 Z=63  EU-151    bl:149   ln:463  
    570) Area:4 Z=63  EU-152    bl:24    ln:77   
    571) Area:4 Z=63  EU-152-M1 bl:5     ln:19   
    572) Area:4 Z=63  EU-153    bl:139   ln:418  
    573) Area:4 Z=63  EU-154    bl:23    ln:87   
    574) Area:4 Z=63  EU-155    bl:22    ln:61   
    575) Area:4 Z=63  EU-156    bl:3     ln:4    
    576) Area:4 Z=63  EU-157    bl:1     ln:1    
    577) Area:4 Z=64  GD-0      bl:26    ln:59   
    578) Area:4 Z=64  GD-147    bl:2     ln:2    
    579) Area:4 Z=64  GD-148    bl:3     ln:4    
    580) Area:4 Z=64  GD-149    bl:1     ln:1    
    581) Area:4 Z=64  GD-150    bl:2     ln:3    
    582) Area:4 Z=64  GD-151    bl:1     ln:1    
    583) Area:4 Z=64  GD-152    bl:44    ln:113  
    584) Area:4 Z=64  GD-153    bl:12    ln:25   
    585) Area:4 Z=64  GD-154    bl:49    ln:139  
    586) Area:4 Z=64  GD-155    bl:94    ln:212  
    587) Area:4 Z=64  GD-156    bl:69    ln:205  
    588) Area:4 Z=64  GD-157    bl:82    ln:195  
    589) Area:4 Z=64  GD-158    bl:77    ln:217  
    590) Area:4 Z=64  GD-159    bl:5     ln:8    
    591) Area:4 Z=64  GD-160    bl:76    ln:220  
    592) Area:4 Z=64  GD-161    bl:3     ln:6    
    593) Area:4 Z=64  GD-162    bl:1     ln:1    
    594) Area:4 Z=64  GD-OXI    bl:2     ln:8    
    595) Area:4 Z=65  TB-151    bl:1     ln:1    
    596) Area:4 Z=65  TB-153    bl:2     ln:2    
    597) Area:4 Z=65  TB-155    bl:3     ln:3    
    598) Area:4 Z=65  TB-156    bl:1     ln:1    
    599) Area:4 Z=65  TB-157    bl:1     ln:1    
    600) Area:4 Z=65  TB-158    bl:3     ln:3    
    601) Area:4 Z=65  TB-159    bl:110   ln:291  
    602) Area:4 Z=65  TB-160    bl:12    ln:22   
    603) Area:4 Z=65  TB-161    bl:2     ln:4    
    604) Area:4 Z=65  TB-163    bl:1     ln:1    
    605) Area:4 Z=66  DY-0      bl:27    ln:72   
    606) Area:4 Z=66  DY-152    bl:1     ln:1    
    607) Area:4 Z=66  DY-154    bl:1     ln:1    
    608) Area:4 Z=66  DY-156    bl:29    ln:77   
    609) Area:4 Z=66  DY-158    bl:24    ln:58   
    610) Area:4 Z=66  DY-159    bl:2     ln:2    
    611) Area:4 Z=66  DY-160    bl:39    ln:98   
    612) Area:4 Z=66  DY-161    bl:51    ln:130  
    613) Area:4 Z=66  DY-162    bl:64    ln:153  
    614) Area:4 Z=66  DY-163    bl:73    ln:172  
    615) Area:4 Z=66  DY-164    bl:68    ln:159  
    616) Area:4 Z=66  DY-165    bl:6     ln:7    
    617) Area:4 Z=67  HO-161    bl:1     ln:1    
    618) Area:4 Z=67  HO-163    bl:1     ln:1    
    619) Area:4 Z=67  HO-165    bl:170   ln:438  
    620) Area:4 Z=67  HO-166    bl:18    ln:30   
    621) Area:4 Z=67  HO-166-M1 bl:6     ln:17   
    622) Area:4 Z=67  HO-167    bl:2     ln:4    
    623) Area:4 Z=67  HO-169    bl:1     ln:1    
    624) Area:4 Z=68  ER-0      bl:44    ln:133  
    625) Area:4 Z=68  ER-160    bl:2     ln:2    
    626) Area:4 Z=68  ER-162    bl:46    ln:137  
    627) Area:4 Z=68  ER-163    bl:2     ln:3    
    628) Area:4 Z=68  ER-164    bl:56    ln:141  
    629) Area:4 Z=68  ER-165    bl:5     ln:13   
    630) Area:4 Z=68  ER-166    bl:103   ln:324  
    631) Area:4 Z=68  ER-167    bl:108   ln:291  
    632) Area:4 Z=68  ER-168    bl:122   ln:329  
    633) Area:4 Z=68  ER-169    bl:4     ln:9    
    634) Area:4 Z=68  ER-170    bl:113   ln:330  
    635) Area:4 Z=68  ER-171    bl:3     ln:8    
    636) Area:4 Z=68  ER-172    bl:1     ln:1    
    637) Area:4 Z=69  TM-159    bl:1     ln:4    
    638) Area:4 Z=69  TM-163    bl:1     ln:1    
    639) Area:4 Z=69  TM-165    bl:1     ln:1    
    640) Area:4 Z=69  TM-167    bl:2     ln:2    
    641) Area:4 Z=69  TM-168    bl:1     ln:1    
    642) Area:4 Z=69  TM-169    bl:47    ln:104  
    643) Area:4 Z=69  TM-170    bl:5     ln:6    
    644) Area:4 Z=69  TM-171    bl:2     ln:3    
    645) Area:4 Z=69  TM-173    bl:1     ln:1    
    646) Area:4 Z=69  TM-175    bl:1     ln:1    
    647) Area:4 Z=70  YB-0      bl:28    ln:81   
    648) Area:4 Z=70  YB-166    bl:4     ln:5    
    649) Area:4 Z=70  YB-168    bl:32    ln:87   
    650) Area:4 Z=70  YB-169    bl:13    ln:25   
    651) Area:4 Z=70  YB-170    bl:28    ln:68   
    652) Area:4 Z=70  YB-171    bl:36    ln:94   
    653) Area:4 Z=70  YB-172    bl:30    ln:65   
    654) Area:4 Z=70  YB-173    bl:48    ln:121  
    655) Area:4 Z=70  YB-174    bl:53    ln:119  
    656) Area:4 Z=70  YB-175    bl:6     ln:7    
    657) Area:4 Z=70  YB-176    bl:48    ln:131  
    658) Area:4 Z=70  YB-177    bl:6     ln:7    
    659) Area:4 Z=71  LU-0      bl:20    ln:42   
    660) Area:4 Z=71  LU-169    bl:2     ln:2    
    661) Area:4 Z=71  LU-170    bl:1     ln:1    
    662) Area:4 Z=71  LU-171    bl:2     ln:2    
    663) Area:4 Z=71  LU-172    bl:1     ln:1    
    664) Area:4 Z=71  LU-173    bl:2     ln:2    
    665) Area:4 Z=71  LU-174    bl:2     ln:2    
    666) Area:4 Z=71  LU-175    bl:76    ln:176  
    667) Area:4 Z=71  LU-176    bl:48    ln:111  
    668) Area:4 Z=71  LU-177    bl:8     ln:10   
    669) Area:4 Z=71  LU-179    bl:1     ln:1    
    670) Area:4 Z=72  HF-0      bl:18    ln:50   
    671) Area:4 Z=72  HF-166    bl:1     ln:1    
    672) Area:4 Z=72  HF-168    bl:1     ln:1    
    673) Area:4 Z=72  HF-170    bl:1     ln:1    
    674) Area:4 Z=72  HF-172    bl:1     ln:1    
    675) Area:4 Z=72  HF-174    bl:18    ln:46   
    676) Area:4 Z=72  HF-175    bl:3     ln:4    
    677) Area:4 Z=72  HF-176    bl:33    ln:96   
    678) Area:4 Z=72  HF-177    bl:54    ln:129  
    679) Area:4 Z=72  HF-178    bl:82    ln:198  
    680) Area:4 Z=72  HF-178-M2 bl:9     ln:47   
    681) Area:4 Z=72  HF-179    bl:58    ln:135  
    682) Area:4 Z=72  HF-180    bl:71    ln:177  
    683) Area:4 Z=72  HF-180-M1 bl:1     ln:2    
    684) Area:4 Z=72  HF-181    bl:7     ln:9    
    685) Area:4 Z=72  HF-182    bl:1     ln:1    
    686) Area:4 Z=73  TA-0      bl:19    ln:49   
    687) Area:4 Z=73  TA-177    bl:2     ln:2    
    688) Area:4 Z=73  TA-179    bl:2     ln:2    
    689) Area:4 Z=73  TA-180    bl:11    ln:20   
    690) Area:4 Z=73  TA-180-M1 bl:4     ln:10   
    691) Area:4 Z=73  TA-181    bl:407   ln:1246 
    692) Area:4 Z=73  TA-182    bl:7     ln:11   
    693) Area:4 Z=73  TA-183    bl:2     ln:3    
    694) Area:4 Z=74  W-0       bl:170   ln:505  
    695) Area:4 Z=74  W-172     bl:1     ln:1    
    696) Area:4 Z=74  W-174     bl:1     ln:1    
    697) Area:4 Z=74  W-176     bl:1     ln:1    
    698) Area:4 Z=74  W-178     bl:1     ln:1    
    699) Area:4 Z=74  W-180     bl:32    ln:71   
    700) Area:4 Z=74  W-181     bl:13    ln:24   
    701) Area:4 Z=74  W-182     bl:86    ln:207  
    702) Area:4 Z=74  W-183     bl:71    ln:171  
    703) Area:4 Z=74  W-184     bl:112   ln:278  
    704) Area:4 Z=74  W-185     bl:11    ln:24   
    705) Area:4 Z=74  W-186     bl:176   ln:451  
    706) Area:4 Z=74  W-187     bl:6     ln:8    
    707) Area:4 Z=74  W-188     bl:1     ln:1    
    708) Area:4 Z=75  RE-0      bl:40    ln:119  
    709) Area:4 Z=75  RE-182    bl:1     ln:1    
    710) Area:4 Z=75  RE-183    bl:2     ln:2    
    711) Area:4 Z=75  RE-184    bl:3     ln:3    
    712) Area:4 Z=75  RE-185    bl:50    ln:150  
    713) Area:4 Z=75  RE-186    bl:3     ln:6    
    714) Area:4 Z=75  RE-187    bl:53    ln:156  
    715) Area:4 Z=75  RE-188    bl:3     ln:4    
    716) Area:4 Z=75  RE-189    bl:1     ln:1    
    717) Area:4 Z=76  OS-0      bl:18    ln:53   
    718) Area:4 Z=76  OS-178    bl:1     ln:1    
    719) Area:4 Z=76  OS-180    bl:1     ln:1    
    720) Area:4 Z=76  OS-182    bl:1     ln:1    
    721) Area:4 Z=76  OS-184    bl:7     ln:13   
    722) Area:4 Z=76  OS-185    bl:2     ln:2    
    723) Area:4 Z=76  OS-186    bl:58    ln:196  
    724) Area:4 Z=76  OS-187    bl:81    ln:230  
    725) Area:4 Z=76  OS-188    bl:61    ln:199  
    726) Area:4 Z=76  OS-189    bl:58    ln:197  
    727) Area:4 Z=76  OS-190    bl:69    ln:239  
    728) Area:4 Z=76  OS-191    bl:2     ln:3    
    729) Area:4 Z=76  OS-192    bl:52    ln:225  
    730) Area:4 Z=76  OS-193    bl:1     ln:2    
    731) Area:4 Z=76  OS-194    bl:1     ln:1    
    732) Area:4 Z=77  IR-0      bl:32    ln:89   
    733) Area:4 Z=77  IR-188    bl:1     ln:1    
    734) Area:4 Z=77  IR-189    bl:2     ln:2    
    735) Area:4 Z=77  IR-190    bl:1     ln:1    
    736) Area:4 Z=77  IR-191    bl:74    ln:184  
    737) Area:4 Z=77  IR-192    bl:18    ln:41   
    738) Area:4 Z=77  IR-193    bl:65    ln:172  
    739) Area:4 Z=77  IR-194    bl:1     ln:2    
    740) Area:4 Z=77  IR-195    bl:1     ln:1    
    741) Area:4 Z=77  IR-196    bl:1     ln:1    
    742) Area:4 Z=78  PT-0      bl:33    ln:92   
    743) Area:4 Z=78  PT-188    bl:2     ln:3    
    744) Area:4 Z=78  PT-190    bl:11    ln:36   
    745) Area:4 Z=78  PT-191    bl:1     ln:1    
    746) Area:4 Z=78  PT-192    bl:24    ln:71   
    747) Area:4 Z=78  PT-193    bl:3     ln:4    
    748) Area:4 Z=78  PT-194    bl:50    ln:142  
    749) Area:4 Z=78  PT-195    bl:51    ln:135  
    750) Area:4 Z=78  PT-196    bl:56    ln:145  
    751) Area:4 Z=78  PT-197    bl:3     ln:4    
    752) Area:4 Z=78  PT-198    bl:47    ln:120  
    753) Area:4 Z=78  PT-199    bl:2     ln:3    
    754) Area:4 Z=79  AU-194    bl:1     ln:1    
    755) Area:4 Z=79  AU-195    bl:3     ln:3    
    756) Area:4 Z=79  AU-196    bl:5     ln:11   
    757) Area:4 Z=79  AU-197    bl:396   ln:1248 
    758) Area:4 Z=79  AU-198    bl:5     ln:6    
    759) Area:4 Z=80  HG-0      bl:73    ln:235  
    760) Area:4 Z=80  HG-194    bl:3     ln:6    
    761) Area:4 Z=80  HG-196    bl:8     ln:14   
    762) Area:4 Z=80  HG-197    bl:1     ln:1    
    763) Area:4 Z=80  HG-198    bl:24    ln:55   
    764) Area:4 Z=80  HG-199    bl:28    ln:46   
    765) Area:4 Z=80  HG-200    bl:23    ln:44   
    766) Area:4 Z=80  HG-201    bl:10    ln:19   
    767) Area:4 Z=80  HG-202    bl:25    ln:46   
    768) Area:4 Z=80  HG-203    bl:1     ln:1    
    769) Area:4 Z=80  HG-204    bl:16    ln:29   
    770) Area:4 Z=81  TL-0      bl:29    ln:62   
    771) Area:4 Z=81  TL-201    bl:2     ln:3    
    772) Area:4 Z=81  TL-202    bl:1     ln:1    
    773) Area:4 Z=81  TL-203    bl:57    ln:153  
    774) Area:4 Z=81  TL-204    bl:3     ln:4    
    775) Area:4 Z=81  TL-205    bl:49    ln:136  
    776) Area:4 Z=81  TL-206    bl:1     ln:2    
    777) Area:4 Z=82  PB-0      bl:321   ln:900  
    778) Area:4 Z=82  PB-198    bl:1     ln:2    
    779) Area:4 Z=82  PB-200    bl:1     ln:2    
    780) Area:4 Z=82  PB-202    bl:4     ln:6    
    781) Area:4 Z=82  PB-203    bl:2     ln:2    
    782) Area:4 Z=82  PB-204    bl:72    ln:191  
    783) Area:4 Z=82  PB-205    bl:4     ln:5    
    784) Area:4 Z=82  PB-206    bl:123   ln:310  
    785) Area:4 Z=82  PB-207    bl:104   ln:263  
    786) Area:4 Z=82  PB-208    bl:261   ln:765  
    787) Area:4 Z=82  PB-209    bl:6     ln:7    
    788) Area:4 Z=82  PB-210    bl:1     ln:2    
    789) Area:4 Z=82  PB-212    bl:1     ln:2    
    790) Area:4 Z=82  PB-214    bl:1     ln:2    
    791) Area:4 Z=82  PB-216    bl:1     ln:2    
    792) Area:4 Z=82  PB-CMP    bl:3     ln:5    
    793) Area:4 Z=83  BI-203    bl:1     ln:3    
    794) Area:4 Z=83  BI-205    bl:1     ln:1    
    795) Area:4 Z=83  BI-206    bl:1     ln:1    
    796) Area:4 Z=83  BI-207    bl:3     ln:4    
    797) Area:4 Z=83  BI-208    bl:5     ln:12   
    798) Area:4 Z=83  BI-209    bl:532   ln:1511 
    799) Area:4 Z=83  BI-210    bl:2     ln:3    
    800) Area:4 Z=83  BI-CMP    bl:1     ln:3    
    801) Area:4 Z=84  PO-206    bl:3     ln:4    
    802) Area:4 Z=84  PO-208    bl:5     ln:7    
    803) Area:4 Z=84  PO-209    bl:2     ln:6    
    804) Area:4 Z=84  PO-210    bl:10    ln:17   
    805) Area:4 Z=84  PO-211    bl:2     ln:2    
    806) Area:4 Z=84  PO-212    bl:5     ln:10   
    807) Area:4 Z=85  AT-213    bl:6     ln:7    
    808) Area:4 Z=86  RN-222    bl:1     ln:2    
    809) Area:4 Z=88  RA-224    bl:2     ln:4    
    810) Area:4 Z=88  RA-225    bl:1     ln:2    
    811) Area:4 Z=88  RA-226    bl:73    ln:216  
    812) Area:4 Z=88  RA-227    bl:5     ln:8    
    813) Area:4 Z=88  RA-228    bl:1     ln:3    
    814) Area:4 Z=89  AC-225    bl:1     ln:1    
    815) Area:4 Z=89  AC-226    bl:2     ln:3    
    816) Area:4 Z=89  AC-227    bl:15    ln:47   
    817) Area:4 Z=89  AC-228    bl:3     ln:6    
    818) Area:4 Z=90  TH-225    bl:1     ln:1    
    819) Area:4 Z=90  TH-226    bl:2     ln:5    
    820) Area:4 Z=90  TH-227    bl:4     ln:4    
    821) Area:4 Z=90  TH-228    bl:15    ln:33   
    822) Area:4 Z=90  TH-229    bl:60    ln:116  
    823) Area:4 Z=90  TH-230    bl:74    ln:240  
    824) Area:4 Z=90  TH-231    bl:13    ln:23   
    825) Area:4 Z=90  TH-232    bl:616   ln:1731 
    826) Area:4 Z=90  TH-233    bl:13    ln:20   
    827) Area:4 Z=90  TH-234    bl:2     ln:2    
    828) Area:4 Z=90  TH-OXI    bl:6     ln:23   
    829) Area:4 Z=91  PA-229    bl:4     ln:4    
    830) Area:4 Z=91  PA-230    bl:6     ln:6    
    831) Area:4 Z=91  PA-231    bl:82    ln:171  
    832) Area:4 Z=91  PA-232    bl:22    ln:55   
    833) Area:4 Z=91  PA-233    bl:37    ln:65   
    834) Area:4 Z=91  PA-234    bl:2     ln:3    
    835) Area:4 Z=91  PA-235    bl:1     ln:1    
    836) Area:4 Z=91  PA-236    bl:2     ln:2    
    837) Area:4 Z=91  PA-237    bl:1     ln:1    
    838) Area:4 Z=91  PA-238    bl:1     ln:1    
    839) Area:4 Z=92  U-0       bl:126   ln:327  
    840) Area:4 Z=92  U-228     bl:2     ln:4    
    841) Area:4 Z=92  U-229     bl:3     ln:5    
    842) Area:4 Z=92  U-230     bl:8     ln:14   
    843) Area:4 Z=92  U-231     bl:5     ln:7    
    844) Area:4 Z=92  U-232     bl:85    ln:163  
    845) Area:4 Z=92  U-233     bl:496   ln:1397 
    846) Area:4 Z=92  U-234     bl:147   ln:328  
    847) Area:4 Z=92  U-235     bl:1326  ln:3788 
    848) Area:4 Z=92  U-235-M1  bl:1     ln:3    
    849) Area:4 Z=92  U-236     bl:250   ln:599  
    850) Area:4 Z=92  U-236-L   bl:1     ln:1    
    851) Area:4 Z=92  U-237     bl:42    ln:81   
    852) Area:4 Z=92  U-238     bl:1191  ln:3174 
    853) Area:4 Z=92  U-238-L   bl:2     ln:8    
    854) Area:4 Z=92  U-239     bl:33    ln:65   
    855) Area:4 Z=92  U-240     bl:7     ln:12   
    856) Area:4 Z=92  U-241     bl:2     ln:4    
    857) Area:4 Z=92  U-242     bl:2     ln:4    
    858) Area:4 Z=93  NP-230    bl:2     ln:4    
    859) Area:4 Z=93  NP-231    bl:2     ln:4    
    860) Area:4 Z=93  NP-232    bl:2     ln:4    
    861) Area:4 Z=93  NP-233    bl:3     ln:5    
    862) Area:4 Z=93  NP-234    bl:4     ln:6    
    863) Area:4 Z=93  NP-235    bl:6     ln:8    
    864) Area:4 Z=93  NP-236    bl:36    ln:74   
    865) Area:4 Z=93  NP-236-M1 bl:3     ln:6    
    866) Area:4 Z=93  NP-237    bl:379   ln:1054 
    867) Area:4 Z=93  NP-238    bl:49    ln:82   
    868) Area:4 Z=93  NP-239    bl:12    ln:22   
    869) Area:4 Z=93  NP-240    bl:5     ln:10   
    870) Area:4 Z=93  NP-241    bl:3     ln:5    
    871) Area:4 Z=93  NP-242    bl:3     ln:5    
    872) Area:4 Z=93  NP-244    bl:1     ln:1    
    873) Area:4 Z=94  PU-233    bl:1     ln:1    
    874) Area:4 Z=94  PU-234    bl:6     ln:12   
    875) Area:4 Z=94  PU-235    bl:4     ln:11   
    876) Area:4 Z=94  PU-236    bl:35    ln:84   
    877) Area:4 Z=94  PU-237    bl:13    ln:30   
    878) Area:4 Z=94  PU-238    bl:167   ln:414  
    879) Area:4 Z=94  PU-239    bl:870   ln:2539 
    880) Area:4 Z=94  PU-240    bl:249   ln:562  
    881) Area:4 Z=94  PU-241    bl:234   ln:591  
    882) Area:4 Z=94  PU-242    bl:185   ln:455  
    883) Area:4 Z=94  PU-243    bl:29    ln:70   
    884) Area:4 Z=94  PU-244    bl:35    ln:78   
    885) Area:4 Z=94  PU-245    bl:6     ln:12   
    886) Area:4 Z=94  PU-246    bl:4     ln:9    
    887) Area:4 Z=94  PU-248    bl:1     ln:2    
    888) Area:4 Z=94  PU-CMP    bl:1     ln:2    
    889) Area:4 Z=95  AM-236    bl:2     ln:4    
    890) Area:4 Z=95  AM-237    bl:3     ln:8    
    891) Area:4 Z=95  AM-238    bl:5     ln:11   
    892) Area:4 Z=95  AM-239    bl:6     ln:9    
    893) Area:4 Z=95  AM-240    bl:16    ln:27   
    894) Area:4 Z=95  AM-241    bl:307   ln:804  
    895) Area:4 Z=95  AM-242    bl:106   ln:219  
    896) Area:4 Z=95  AM-242-M1 bl:24    ln:95   
    897) Area:4 Z=95  AM-243    bl:194   ln:497  
    898) Area:4 Z=95  AM-244    bl:11    ln:20   
    899) Area:4 Z=95  AM-245    bl:4     ln:6    
    900) Area:4 Z=95  AM-246    bl:4     ln:6    
    901) Area:4 Z=95  AM-247    bl:2     ln:4    
    902) Area:4 Z=96  CM-238    bl:4     ln:9    
    903) Area:4 Z=96  CM-239    bl:3     ln:5    
    904) Area:4 Z=96  CM-240    bl:5     ln:10   
    905) Area:4 Z=96  CM-241    bl:11    ln:24   
    906) Area:4 Z=96  CM-242    bl:85    ln:163  
    907) Area:4 Z=96  CM-243    bl:77    ln:180  
    908) Area:4 Z=96  CM-244    bl:191   ln:538  
    909) Area:4 Z=96  CM-245    bl:125   ln:322  
    910) Area:4 Z=96  CM-246    bl:109   ln:302  
    911) Area:4 Z=96  CM-247    bl:83    ln:224  
    912) Area:4 Z=96  CM-248    bl:131   ln:420  
    913) Area:4 Z=96  CM-249    bl:9     ln:18   
    914) Area:4 Z=96  CM-250    bl:10    ln:17   
    915) Area:4 Z=96  CM-251    bl:3     ln:6    
    916) Area:4 Z=96  CM-252    bl:2     ln:3    
    917) Area:4 Z=97  BK-240    bl:1     ln:1    
    918) Area:4 Z=97  BK-242    bl:3     ln:5    
    919) Area:4 Z=97  BK-243    bl:2     ln:4    
    920) Area:4 Z=97  BK-244    bl:4     ln:6    
    921) Area:4 Z=97  BK-245    bl:5     ln:8    
    922) Area:4 Z=97  BK-246    bl:6     ln:11   
    923) Area:4 Z=97  BK-247    bl:5     ln:7    
    924) Area:4 Z=97  BK-248    bl:3     ln:5    
    925) Area:4 Z=97  BK-249    bl:54    ln:145  
    926) Area:4 Z=97  BK-250    bl:8     ln:21   
    927) Area:4 Z=97  BK-251    bl:4     ln:7    
    928) Area:4 Z=97  BK-252    bl:4     ln:8    
    929) Area:4 Z=97  BK-253    bl:2     ln:4    
    930) Area:4 Z=98  CF-242    bl:1     ln:2    
    931) Area:4 Z=98  CF-243    bl:1     ln:2    
    932) Area:4 Z=98  CF-244    bl:1     ln:2    
    933) Area:4 Z=98  CF-245    bl:3     ln:7    
    934) Area:4 Z=98  CF-246    bl:10    ln:22   
    935) Area:4 Z=98  CF-247    bl:3     ln:7    
    936) Area:4 Z=98  CF-248    bl:6     ln:12   
    937) Area:4 Z=98  CF-249    bl:104   ln:289  
    938) Area:4 Z=98  CF-250    bl:31    ln:79   
    939) Area:4 Z=98  CF-251    bl:36    ln:84   
    940) Area:4 Z=98  CF-252    bl:363   ln:1027 
    941) Area:4 Z=98  CF-253    bl:15    ln:49   
    942) Area:4 Z=98  CF-254    bl:21    ln:49   
    943) Area:4 Z=98  CF-255    bl:2     ln:4    
    944) Area:4 Z=98  CF-256    bl:5     ln:8    
    945) Area:4 Z=99  ES-244    bl:3     ln:5    
    946) Area:4 Z=99  ES-245    bl:2     ln:4    
    947) Area:4 Z=99  ES-246    bl:2     ln:4    
    948) Area:4 Z=99  ES-247    bl:2     ln:4    
    949) Area:4 Z=99  ES-248    bl:3     ln:5    
    950) Area:4 Z=99  ES-249    bl:2     ln:4    
    951) Area:4 Z=99  ES-250    bl:2     ln:4    
    952) Area:4 Z=99  ES-251    bl:3     ln:5    
    953) Area:4 Z=99  ES-252    bl:3     ln:5    
    954) Area:4 Z=99  ES-253    bl:14    ln:31   
    955) Area:4 Z=99  ES-254    bl:15    ln:31   
    956) Area:4 Z=99  ES-254-M1 bl:1     ln:4    
    957) Area:4 Z=99  ES-255    bl:4     ln:8    
    958) Area:4 Z=99  ES-256    bl:1     ln:4    
    959) Area:4 Z=100 FM-244    bl:10    ln:31   
