CINDA BACKUP   BCK00920241224  86374  82138
    307) Area:9 Z=59  PR-0      bl:48    ln:50   
    308) Area:9 Z=59  PR-141    bl:210   ln:229  
    309) Area:9 Z=60  ND-0      bl:85    ln:89   
    310) Area:9 Z=60  ND-142    bl:289   ln:316  
    311) Area:9 Z=60  ND-143    bl:59    ln:62   
    312) Area:9 Z=60  ND-144    bl:143   ln:152  
    313) Area:9 Z=60  ND-145    bl:46    ln:47   
    314) Area:9 Z=60  ND-146    bl:149   ln:153  
    315) Area:9 Z=60  ND-147    bl:1     ln:1    
    316) Area:9 Z=60  ND-148    bl:127   ln:130  
    317) Area:9 Z=60  ND-150    bl:183   ln:193  
    318) Area:9 Z=61  PM-147    bl:2     ln:2    
    319) Area:9 Z=62  SM-0      bl:69    ln:70   
    320) Area:9 Z=62  SM-144    bl:452   ln:490  
    321) Area:9 Z=62  SM-145    bl:2     ln:2    
    322) Area:9 Z=62  SM-146    bl:1     ln:2    
    323) Area:9 Z=62  SM-147    bl:69    ln:71   
    324) Area:9 Z=62  SM-148    bl:216   ln:231  
    325) Area:9 Z=62  SM-149    bl:60    ln:62   
    326) Area:9 Z=62  SM-150    bl:215   ln:231  
    327) Area:9 Z=62  SM-151    bl:15    ln:16   
    328) Area:9 Z=62  SM-152    bl:317   ln:342  
    329) Area:9 Z=62  SM-153    bl:2     ln:2    
    330) Area:9 Z=62  SM-154    bl:459   ln:494  
    331) Area:9 Z=63  EU-0      bl:34    ln:35   
    332) Area:9 Z=63  EU-151    bl:68    ln:70   
    333) Area:9 Z=63  EU-152    bl:14    ln:14   
    334) Area:9 Z=63  EU-153    bl:84    ln:88   
    335) Area:9 Z=63  EU-154    bl:3     ln:4    
    336) Area:9 Z=64  GD-0      bl:76    ln:79   
    337) Area:9 Z=64  GD-148    bl:13    ln:16   
    338) Area:9 Z=64  GD-152    bl:25    ln:26   
    339) Area:9 Z=64  GD-154    bl:72    ln:74   
    340) Area:9 Z=64  GD-155    bl:43    ln:43   
    341) Area:9 Z=64  GD-156    bl:80    ln:84   
    342) Area:9 Z=64  GD-157    bl:19    ln:19   
    343) Area:9 Z=64  GD-158    bl:125   ln:130  
    344) Area:9 Z=64  GD-159    bl:2     ln:2    
    345) Area:9 Z=64  GD-160    bl:117   ln:124  
    346) Area:9 Z=65  TB-0      bl:26    ln:26   
    347) Area:9 Z=65  TB-158    bl:2     ln:2    
    348) Area:9 Z=65  TB-159    bl:309   ln:329  
    349) Area:9 Z=66  DY-0      bl:68    ln:70   
    350) Area:9 Z=66  DY-156    bl:24    ln:24   
    351) Area:9 Z=66  DY-158    bl:19    ln:20   
    352) Area:9 Z=66  DY-160    bl:51    ln:51   
    353) Area:9 Z=66  DY-161    bl:51    ln:53   
    354) Area:9 Z=66  DY-162    bl:114   ln:114  
    355) Area:9 Z=66  DY-163    bl:39    ln:40   
    356) Area:9 Z=66  DY-164    bl:130   ln:133  
    357) Area:9 Z=67  HO-0      bl:52    ln:54   
    358) Area:9 Z=67  HO-156    bl:1     ln:1    
    359) Area:9 Z=67  HO-165    bl:334   ln:349  
    360) Area:9 Z=67  HO-166    bl:1     ln:1    
    361) Area:9 Z=68  ER-0      bl:62    ln:64   
    362) Area:9 Z=68  ER-162    bl:13    ln:13   
    363) Area:9 Z=68  ER-164    bl:41    ln:41   
    364) Area:9 Z=68  ER-166    bl:147   ln:152  
    365) Area:9 Z=68  ER-167    bl:72    ln:76   
    366) Area:9 Z=68  ER-168    bl:108   ln:114  
    367) Area:9 Z=68  ER-170    bl:140   ln:157  
    368) Area:9 Z=69  TM-0      bl:25    ln:25   
    369) Area:9 Z=69  TM-169    bl:152   ln:157  
    370) Area:9 Z=69  TM-170    bl:2     ln:2    
    371) Area:9 Z=69  TM-171    bl:1     ln:1    
    372) Area:9 Z=70  YB-0      bl:72    ln:73   
    373) Area:9 Z=70  YB-168    bl:22    ln:23   
    374) Area:9 Z=70  YB-170    bl:55    ln:57   
    375) Area:9 Z=70  YB-171    bl:34    ln:36   
    376) Area:9 Z=70  YB-172    bl:76    ln:79   
    377) Area:9 Z=70  YB-173    bl:33    ln:35   
    378) Area:9 Z=70  YB-174    bl:118   ln:124  
    379) Area:9 Z=70  YB-176    bl:147   ln:160  
    380) Area:9 Z=71  LU-0      bl:27    ln:27   
    381) Area:9 Z=71  LU-175    bl:132   ln:137  
    382) Area:9 Z=71  LU-176    bl:29    ln:33   
    383) Area:9 Z=72  HF-0      bl:24    ln:25   
    384) Area:9 Z=72  HF-174    bl:6     ln:6    
    385) Area:9 Z=72  HF-176    bl:52    ln:56   
