CINDA BACKUP   BCK00420140625  61486  28750
    233) Area:4 Z=36  KR-78     bl:7     ln:10   
    234) Area:4 Z=36  KR-79     bl:3     ln:4    
    235) Area:4 Z=36  KR-80     bl:9     ln:17   
    236) Area:4 Z=36  KR-81     bl:3     ln:4    
    237) Area:4 Z=36  KR-82     bl:10    ln:16   
    238) Area:4 Z=36  KR-83     bl:8     ln:13   
    239) Area:4 Z=36  KR-84     bl:14    ln:21   
    240) Area:4 Z=36  KR-85     bl:7     ln:12   
    241) Area:4 Z=36  KR-86     bl:10    ln:16   
    242) Area:4 Z=36  KR-88     bl:1     ln:1    
    243) Area:4 Z=37  RB-0      bl:15    ln:38   
    244) Area:4 Z=37  RB-81     bl:1     ln:1    
    245) Area:4 Z=37  RB-83     bl:1     ln:1    
    246) Area:4 Z=37  RB-84     bl:1     ln:1    
    247) Area:4 Z=37  RB-85     bl:43    ln:88   
    248) Area:4 Z=37  RB-86     bl:5     ln:8    
    249) Area:4 Z=37  RB-87     bl:34    ln:79   
    250) Area:4 Z=37  RB-88     bl:2     ln:4    
    251) Area:4 Z=37  RB-89     bl:1     ln:1    
    252) Area:4 Z=38  SR-0      bl:30    ln:67   
    253) Area:4 Z=38  SR-82     bl:2     ln:3    
    254) Area:4 Z=38  SR-83     bl:2     ln:2    
    255) Area:4 Z=38  SR-84     bl:32    ln:56   
    256) Area:4 Z=38  SR-85     bl:5     ln:8    
    257) Area:4 Z=38  SR-86     bl:44    ln:79   
    258) Area:4 Z=38  SR-87     bl:39    ln:71   
    259) Area:4 Z=38  SR-88     bl:60    ln:104  
    260) Area:4 Z=38  SR-89     bl:5     ln:6    
    261) Area:4 Z=38  SR-90     bl:19    ln:32   
    262) Area:4 Z=38  SR-92     bl:1     ln:1    
    263) Area:4 Z=38  SR-94     bl:1     ln:1    
    264) Area:4 Z=38  SR-96     bl:1     ln:1    
    265) Area:4 Z=39  Y-87      bl:2     ln:2    
    266) Area:4 Z=39  Y-88      bl:5     ln:7    
    267) Area:4 Z=39  Y-89      bl:126   ln:276  
    268) Area:4 Z=39  Y-90      bl:3     ln:4    
    269) Area:4 Z=39  Y-91      bl:2     ln:2    
    270) Area:4 Z=39  Y-93      bl:1     ln:1    
    271) Area:4 Z=40  ZR-0      bl:135   ln:334  
    272) Area:4 Z=40  ZR-88     bl:3     ln:6    
    273) Area:4 Z=40  ZR-89     bl:2     ln:2    
    274) Area:4 Z=40  ZR-90     bl:119   ln:251  
    275) Area:4 Z=40  ZR-91     bl:62    ln:133  
    276) Area:4 Z=40  ZR-92     bl:79    ln:154  
    277) Area:4 Z=40  ZR-93     bl:13    ln:20   
    278) Area:4 Z=40  ZR-94     bl:80    ln:163  
    279) Area:4 Z=40  ZR-95     bl:5     ln:6    
    280) Area:4 Z=40  ZR-96     bl:54    ln:91   
    281) Area:4 Z=40  ZR-97     bl:3     ln:4    
    282) Area:4 Z=40  ZR-98     bl:1     ln:1    
    283) Area:4 Z=40  ZR-HYD    bl:11    ln:15   
    284) Area:4 Z=41  NB-91     bl:3     ln:5    
    285) Area:4 Z=41  NB-92     bl:4     ln:4    
    286) Area:4 Z=41  NB-93     bl:276   ln:685  
    287) Area:4 Z=41  NB-94     bl:8     ln:10   
    288) Area:4 Z=41  NB-95     bl:5     ln:5    
    289) Area:4 Z=41  NB-97     bl:2     ln:2    
    290) Area:4 Z=42  MO-0      bl:141   ln:338  
    291) Area:4 Z=42  MO-100    bl:85    ln:167  
    292) Area:4 Z=42  MO-101    bl:2     ln:3    
    293) Area:4 Z=42  MO-92     bl:88    ln:181  
    294) Area:4 Z=42  MO-93     bl:2     ln:3    
    295) Area:4 Z=42  MO-94     bl:55    ln:94   
    296) Area:4 Z=42  MO-95     bl:58    ln:138  
    297) Area:4 Z=42  MO-96     bl:72    ln:128  
    298) Area:4 Z=42  MO-97     bl:41    ln:95   
    299) Area:4 Z=42  MO-98     bl:86    ln:169  
    300) Area:4 Z=42  MO-99     bl:3     ln:6    
    301) Area:4 Z=43  TC-100    bl:1     ln:2    
    302) Area:4 Z=43  TC-93     bl:1     ln:1    
    303) Area:4 Z=43  TC-96     bl:1     ln:1    
    304) Area:4 Z=43  TC-97     bl:5     ln:8    
    305) Area:4 Z=43  TC-98     bl:5     ln:9    
    306) Area:4 Z=43  TC-99     bl:33    ln:62   
    307) Area:4 Z=44  RU-0      bl:14    ln:25   
    308) Area:4 Z=44  RU-100    bl:16    ln:39   
    309) Area:4 Z=44  RU-101    bl:28    ln:69   
    310) Area:4 Z=44  RU-102    bl:37    ln:77   
    311) Area:4 Z=44  RU-103    bl:4     ln:9    
    312) Area:4 Z=44  RU-104    bl:29    ln:61   
    313) Area:4 Z=44  RU-105    bl:3     ln:4    
    314) Area:4 Z=44  RU-106    bl:8     ln:14   
    315) Area:4 Z=44  RU-92     bl:1     ln:1    
    316) Area:4 Z=44  RU-94     bl:1     ln:1    
    317) Area:4 Z=44  RU-96     bl:14    ln:23   
    318) Area:4 Z=44  RU-97     bl:2     ln:2    
    319) Area:4 Z=44  RU-98     bl:8     ln:15   
    320) Area:4 Z=44  RU-99     bl:15    ln:41   
    321) Area:4 Z=45  RH-101    bl:2     ln:2    
    322) Area:4 Z=45  RH-102    bl:3     ln:5    
    323) Area:4 Z=45  RH-103    bl:114   ln:236  
    324) Area:4 Z=45  RH-104    bl:3     ln:5    
    325) Area:4 Z=45  RH-105    bl:4     ln:4    
    326) Area:4 Z=45  RH-106    bl:1     ln:1    
    327) Area:4 Z=45  RH-107    bl:1     ln:1    
    328) Area:4 Z=45  RH-97     bl:1     ln:1    
    329) Area:4 Z=45  RH-99     bl:2     ln:2    
    330) Area:4 Z=46  PD-0      bl:19    ln:37   
    331) Area:4 Z=46  PD-100    bl:3     ln:4    
    332) Area:4 Z=46  PD-102    bl:19    ln:36   
    333) Area:4 Z=46  PD-103    bl:3     ln:3    
    334) Area:4 Z=46  PD-104    bl:24    ln:50   
    335) Area:4 Z=46  PD-105    bl:37    ln:81   
    336) Area:4 Z=46  PD-106    bl:35    ln:62   
    337) Area:4 Z=46  PD-107    bl:15    ln:27   
    338) Area:4 Z=46  PD-108    bl:42    ln:72   
    339) Area:4 Z=46  PD-109    bl:3     ln:4    
    340) Area:4 Z=46  PD-110    bl:26    ln:42   
    341) Area:4 Z=46  PD-111    bl:2     ln:3    
    342) Area:4 Z=46  PD-98     bl:1     ln:1    
    343) Area:4 Z=47  AG-0      bl:66    ln:162  
    344) Area:4 Z=47  AG-103    bl:1     ln:1    
    345) Area:4 Z=47  AG-105    bl:2     ln:2    
    346) Area:4 Z=47  AG-107    bl:57    ln:124  
    347) Area:4 Z=47  AG-108    bl:13    ln:24   
    348) Area:4 Z=47  AG-109    bl:70    ln:165  
    349) Area:4 Z=47  AG-110    bl:6     ln:15   
    350) Area:4 Z=47  AG-111    bl:3     ln:3    
    351) Area:4 Z=47  AG-CMP    bl:1     ln:2    
    352) Area:4 Z=48  CD-0      bl:113   ln:279  
    353) Area:4 Z=48  CD-106    bl:59    ln:125  
    354) Area:4 Z=48  CD-107    bl:2     ln:3    
    355) Area:4 Z=48  CD-108    bl:52    ln:108  
    356) Area:4 Z=48  CD-109    bl:6     ln:12   
    357) Area:4 Z=48  CD-110    bl:78    ln:161  
    358) Area:4 Z=48  CD-111    bl:76    ln:158  
    359) Area:4 Z=48  CD-112    bl:96    ln:217  
    360) Area:4 Z=48  CD-113    bl:68    ln:129  
    361) Area:4 Z=48  CD-114    bl:95    ln:185  
    362) Area:4 Z=48  CD-115    bl:4     ln:6    
    363) Area:4 Z=48  CD-116    bl:87    ln:184  
    364) Area:4 Z=48  CD-117    bl:2     ln:3    
    365) Area:4 Z=48  CD-CMP    bl:4     ln:7    
    366) Area:4 Z=49  IN-0      bl:62    ln:155  
    367) Area:4 Z=49  IN-107    bl:1     ln:1    
    368) Area:4 Z=49  IN-109    bl:1     ln:1    
    369) Area:4 Z=49  IN-111    bl:2     ln:2    
    370) Area:4 Z=49  IN-113    bl:51    ln:124  
    371) Area:4 Z=49  IN-114    bl:2     ln:5    
    372) Area:4 Z=49  IN-115    bl:143   ln:345  
    373) Area:4 Z=49  IN-116    bl:1     ln:2    
    374) Area:4 Z=49  IN-117    bl:1     ln:1    
    375) Area:4 Z=49  IN-119    bl:1     ln:1    
    376) Area:4 Z=49  IN-121    bl:1     ln:1    
    377) Area:4 Z=50  SN-0      bl:122   ln:320  
    378) Area:4 Z=50  SN-112    bl:61    ln:133  
    379) Area:4 Z=50  SN-113    bl:9     ln:18   
    380) Area:4 Z=50  SN-114    bl:44    ln:96   
    381) Area:4 Z=50  SN-115    bl:23    ln:56   
    382) Area:4 Z=50  SN-116    bl:97    ln:216  
    383) Area:4 Z=50  SN-117    bl:93    ln:230  
    384) Area:4 Z=50  SN-118    bl:99    ln:224  
    385) Area:4 Z=50  SN-119    bl:48    ln:118  
    386) Area:4 Z=50  SN-120    bl:108   ln:228  
    387) Area:4 Z=50  SN-121    bl:7     ln:8    
    388) Area:4 Z=50  SN-122    bl:84    ln:191  
    389) Area:4 Z=50  SN-123    bl:5     ln:6    
    390) Area:4 Z=50  SN-124    bl:90    ln:212  
